id,Country,Year,DiseaseName,DiseaseCategory,PrevalenceRate,IncidenceRate,MortalityRate,AgeGroup,Gender,PopulationAffected,HealthcareAccess,DoctorsPer1000,HospitalBedsPer1000,TreatmentType,AverageTreatmentCost,AvailabilityOfVaccinesTreatment,RecoveryRate,DALYs,ImprovementIn5Years,PerCapitaIncome,EducationIndex,UrbanizationRate
11153,Germany,2009,Hepatitis,Infectious,13.04,5.0,3.77,19-35,Female,635451,88.98,3.55,1.78,Therapy,30648.0,Yes,85.23,1118.0,6.36,27379.0,0.75,55.72
11185,Turkey,2012,Tuberculosis,Genetic,9.72,6.28,1.84,0-18,Other,133044,61.83,0.82,3.52,Surgery,17354.0,No,92.32,2915.0,8.11,96880.0,0.9,37.47
11187,Australia,2002,Leprosy,Neurological,8.05,7.42,8.23,0-18,Male,562984,74.75,3.6,5.3,Surgery,12825.0,No,63.29,1536.0,9.85,27009.0,0.66,51.35
11188,Italy,2005,Malaria,Cardiovascular,10.99,1.9,6.02,0-18,Male,298308,60.54,2.73,2.65,Vaccination,6120.0,Yes,89.97,151.0,4.79,64622.0,0.54,39.93
11191,Mexico,2013,Diabetes,Neurological,2.45,8.27,8.81,36-60,Female,979504,96.37,1.98,1.35,Vaccination,35382.0,No,70.27,3855.0,7.93,21270.0,0.62,42.32
11196,France,2016,Malaria,Genetic,17.22,7.19,9.43,19-35,Male,410440,94.66,3.0,4.64,Surgery,15614.0,Yes,96.89,4144.0,4.94,8744.0,0.86,70.63
11213,France,2012,Influenza,Genetic,12.52,8.47,8.98,19-35,Female,641671,78.53,3.74,7.35,Medication,4047.0,No,71.11,1956.0,4.61,42968.0,0.63,87.66
11217,Australia,2018,Hepatitis,Autoimmune,15.55,9.79,3.13,19-35,Female,728124,90.31,3.41,5.04,Vaccination,1840.0,No,83.75,4536.0,9.56,73460.0,0.57,22.53
11218,Indonesia,2003,Diabetes,Neurological,13.29,2.21,4.53,61+,Female,352400,89.26,4.2,6.18,Medication,36233.0,No,60.42,1548.0,5.96,11648.0,0.54,73.57
11219,Japan,2018,Influenza,Autoimmune,9.53,3.23,0.53,19-35,Male,414196,96.35,1.34,1.8,Therapy,11458.0,No,93.94,2060.0,6.78,53488.0,0.85,74.75
11220,Brazil,2001,Diabetes,Genetic,16.69,4.37,9.82,19-35,Male,305111,54.7,1.56,8.68,Vaccination,24059.0,Yes,57.14,1526.0,8.9,19635.0,0.64,42.71
11221,Nigeria,2017,Influenza,Cardiovascular,2.26,2.49,9.91,19-35,Female,357763,68.44,2.67,9.18,Surgery,37915.0,Yes,80.88,4679.0,5.23,52831.0,0.6,32.52
11223,UK,2020,Rabies,Chronic,1.9,12.68,5.03,19-35,Female,88606,59.65,4.36,2.48,Medication,46939.0,Yes,82.65,1094.0,9.08,62847.0,0.5,65.18
11228,Italy,2004,Cancer,Infectious,2.3,9.7,9.75,61+,Male,493276,65.32,4.49,6.41,Vaccination,31503.0,No,83.29,348.0,1.46,54973.0,0.78,73.32
11237,Turkey,2007,Hepatitis,Cardiovascular,17.49,7.09,8.86,19-35,Other,636807,68.43,1.7,5.73,Surgery,349.0,Yes,56.55,3232.0,8.82,52496.0,0.85,43.28
11244,Turkey,2021,Measles,Genetic,13.69,6.23,7.65,61+,Other,163016,98.35,3.97,6.97,Therapy,16783.0,Yes,57.63,4698.0,8.36,7530.0,0.47,32.89
11245,Indonesia,2018,Asthma,Bacterial,11.47,6.8,9.04,61+,Female,270304,83.27,0.96,6.83,Vaccination,44014.0,Yes,58.06,562.0,8.42,63159.0,0.7,48.72
11246,France,2015,Asthma,Infectious,15.92,13.79,2.02,19-35,Male,485745,71.75,4.77,7.4,Vaccination,49428.0,No,70.76,371.0,1.36,86260.0,0.72,89.02
11260,Argentina,2020,COVID-19,Metabolic,14.44,7.24,1.47,0-18,Female,448232,63.19,3.9,0.61,Medication,35852.0,Yes,75.53,2055.0,5.64,39837.0,0.41,82.23
11268,Argentina,2018,Ebola,Bacterial,15.36,9.79,9.65,61+,Female,158208,68.42,4.24,2.88,Surgery,12007.0,No,95.14,3723.0,1.1,69215.0,0.44,23.42
11270,Australia,2012,Tuberculosis,Chronic,10.21,8.27,7.79,36-60,Female,88656,74.18,4.61,2.47,Therapy,10001.0,Yes,69.86,3017.0,1.22,27249.0,0.45,86.12
11274,Brazil,2018,Diabetes,Neurological,1.48,4.73,8.95,36-60,Male,947084,92.61,1.26,0.83,Medication,213.0,Yes,90.31,2243.0,3.51,23190.0,0.68,69.2
11275,Japan,2011,Malaria,Neurological,18.97,9.99,6.13,36-60,Male,452069,71.34,2.69,1.13,Vaccination,4631.0,Yes,94.41,4897.0,6.28,94000.0,0.69,39.94
11278,Saudi Arabia,2001,Polio,Metabolic,17.64,2.28,7.9,61+,Male,256050,53.1,3.55,9.24,Vaccination,21378.0,Yes,86.36,2688.0,3.68,82485.0,0.68,57.26
11279,Indonesia,2024,HIV/AIDS,Respiratory,15.81,9.84,2.34,36-60,Other,517331,85.84,1.24,5.79,Therapy,43301.0,No,60.78,4972.0,6.63,43555.0,0.52,36.84
11284,Mexico,2005,Zika,Viral,13.14,4.08,5.16,19-35,Female,824578,76.12,4.43,4.29,Therapy,32398.0,No,60.43,4027.0,0.26,23389.0,0.8,71.67
11286,Mexico,2008,Cancer,Neurological,4.89,12.9,7.88,36-60,Other,202246,93.19,4.79,8.57,Surgery,17495.0,Yes,50.16,4485.0,7.07,94728.0,0.7,61.02
11293,India,2021,Zika,Viral,5.75,9.26,3.31,0-18,Male,781319,64.09,1.69,7.55,Vaccination,16361.0,No,65.8,4663.0,2.15,78536.0,0.8,32.58
11296,USA,2001,Tuberculosis,Infectious,3.5,0.25,4.62,61+,Female,219165,94.15,1.06,7.28,Vaccination,14860.0,No,51.57,1541.0,3.19,27612.0,0.72,36.92
11297,Canada,2007,Alzheimer's Disease,Viral,14.05,0.95,6.34,0-18,Male,395107,58.75,1.4,3.46,Medication,36355.0,Yes,94.45,1645.0,9.25,15480.0,0.74,49.03
11302,South Africa,2000,Cholera,Parasitic,13.01,11.12,3.17,0-18,Male,868892,79.59,2.97,1.37,Medication,47198.0,Yes,58.2,546.0,1.49,33193.0,0.87,34.41
11304,India,2019,Cancer,Chronic,12.86,10.76,3.24,61+,Other,42799,67.21,3.95,3.04,Therapy,34721.0,Yes,56.63,710.0,4.76,12409.0,0.4,48.21
11306,Japan,2021,Dengue,Genetic,2.6,7.99,2.46,61+,Female,869253,92.08,4.9,5.51,Therapy,19766.0,No,81.63,4577.0,2.45,1620.0,0.64,21.14
11311,Russia,2024,Rabies,Parasitic,11.8,5.74,0.38,61+,Female,843995,75.91,1.04,6.15,Vaccination,43523.0,Yes,64.79,4110.0,6.51,23589.0,0.67,85.73
11312,Italy,2023,Polio,Neurological,8.96,12.29,3.73,0-18,Female,562497,87.68,2.88,3.2,Vaccination,29937.0,Yes,92.04,3752.0,7.57,40442.0,0.45,31.69
11313,Argentina,2002,HIV/AIDS,Autoimmune,18.93,1.65,3.83,19-35,Male,178819,79.59,4.51,8.54,Surgery,3476.0,No,77.15,1091.0,3.18,56144.0,0.65,66.2
11320,Argentina,2008,Asthma,Respiratory,2.78,14.74,0.89,61+,Female,409883,71.24,3.98,5.32,Medication,33422.0,No,69.35,1014.0,3.15,12379.0,0.62,55.06
11332,Indonesia,2013,Dengue,Viral,6.75,4.35,2.81,61+,Male,286317,90.21,4.1,7.75,Vaccination,1484.0,Yes,61.55,4692.0,9.46,19441.0,0.56,56.63
11363,Italy,2011,Influenza,Infectious,12.11,10.74,3.84,36-60,Female,909038,63.36,4.55,1.8,Surgery,9689.0,Yes,93.36,3229.0,7.29,58215.0,0.8,78.91
11367,Canada,2024,Zika,Cardiovascular,16.55,11.05,8.98,0-18,Other,105601,86.23,4.29,9.67,Medication,5666.0,Yes,65.81,4934.0,8.55,33261.0,0.9,49.1
11374,Brazil,2018,Influenza,Autoimmune,2.87,2.97,1.34,36-60,Other,231936,77.86,4.38,1.23,Therapy,29798.0,Yes,64.54,1857.0,7.04,36945.0,0.69,80.59
11377,Argentina,2008,Hypertension,Chronic,4.43,5.39,3.28,36-60,Male,462255,92.93,3.39,6.72,Medication,8432.0,No,79.19,4748.0,4.43,71192.0,0.8,65.45
11378,Nigeria,2019,Diabetes,Metabolic,10.38,8.43,3.53,36-60,Female,623480,87.17,3.76,2.24,Therapy,22303.0,Yes,71.47,2604.0,2.29,43274.0,0.7,24.73
11383,Indonesia,2009,Cholera,Cardiovascular,16.06,8.75,8.17,61+,Female,634108,53.25,4.18,9.64,Therapy,43755.0,Yes,80.07,1888.0,8.98,52320.0,0.61,53.76
11386,Australia,2001,Cholera,Neurological,1.28,9.55,5.87,36-60,Other,478501,54.15,1.77,5.03,Therapy,10910.0,Yes,67.74,3910.0,5.02,9268.0,0.57,85.06
11397,Saudi Arabia,2008,Leprosy,Metabolic,17.23,2.8,2.92,19-35,Female,35948,71.79,3.72,0.8,Therapy,20407.0,No,66.36,2187.0,6.04,56355.0,0.88,88.07
11402,Indonesia,2006,Malaria,Viral,11.77,13.29,5.84,61+,Female,893880,74.82,2.07,2.32,Surgery,24702.0,Yes,76.9,849.0,9.32,95984.0,0.51,49.63
11416,South Korea,2008,Hypertension,Bacterial,15.43,7.44,9.63,61+,Male,648699,85.4,4.35,3.12,Therapy,402.0,Yes,56.54,3427.0,1.64,77613.0,0.83,48.18
11427,Germany,2010,Rabies,Cardiovascular,10.57,5.88,0.51,36-60,Female,602310,60.21,2.5,7.9,Medication,24143.0,No,55.62,1585.0,7.76,21978.0,0.72,75.33
11429,Argentina,2022,Ebola,Cardiovascular,12.94,13.39,0.84,61+,Male,206046,60.07,2.34,4.31,Therapy,27868.0,Yes,96.47,4816.0,9.85,11579.0,0.68,45.87
11431,Turkey,2000,Malaria,Genetic,18.56,7.07,7.4,61+,Other,113573,57.62,3.71,7.56,Surgery,25662.0,No,91.34,4310.0,4.16,75435.0,0.76,64.91
11433,Germany,2004,Hepatitis,Parasitic,12.89,6.65,7.71,0-18,Female,213745,90.16,3.37,6.09,Vaccination,23508.0,Yes,93.34,2900.0,3.62,3627.0,0.47,83.87
11437,France,2015,Polio,Chronic,11.15,5.53,3.86,19-35,Male,318387,67.99,1.78,1.68,Surgery,45793.0,No,55.14,3510.0,5.45,53037.0,0.61,82.1
11441,Mexico,2015,Tuberculosis,Autoimmune,8.94,6.3,8.44,36-60,Other,519236,76.44,2.92,6.05,Surgery,2095.0,No,93.03,2903.0,3.91,59423.0,0.82,81.86
11451,France,2003,Ebola,Cardiovascular,17.7,4.43,4.61,61+,Other,242839,55.82,4.37,4.1,Vaccination,49077.0,No,71.3,3137.0,6.02,60863.0,0.59,66.2
11470,Australia,2023,Cholera,Cardiovascular,8.61,3.11,1.36,61+,Female,558211,89.4,2.98,7.61,Medication,12026.0,Yes,98.23,645.0,9.32,36722.0,0.51,43.54
11479,South Korea,2016,Ebola,Infectious,20.0,7.77,9.13,0-18,Other,482569,77.22,4.29,7.04,Medication,29347.0,No,56.94,950.0,0.86,16513.0,0.74,88.42
11484,Nigeria,2017,Hepatitis,Cardiovascular,6.62,4.13,1.38,36-60,Other,210738,61.0,1.01,8.99,Vaccination,7035.0,Yes,82.71,4232.0,7.27,66382.0,0.55,65.72
11487,Argentina,2023,Zika,Respiratory,8.94,4.79,2.56,0-18,Female,267313,92.71,4.42,6.8,Medication,29200.0,Yes,93.52,2804.0,4.51,87460.0,0.41,50.72
11491,Argentina,2014,Leprosy,Viral,19.51,12.62,6.27,0-18,Other,913456,67.56,4.55,0.52,Vaccination,45053.0,Yes,69.99,2244.0,3.34,70892.0,0.89,76.38
11500,Indonesia,2016,Measles,Cardiovascular,1.49,5.91,0.97,36-60,Female,761640,58.85,4.48,7.03,Surgery,18964.0,No,53.19,2960.0,6.84,37460.0,0.84,86.72
11509,Argentina,2011,Asthma,Autoimmune,4.22,3.49,2.08,61+,Other,109908,52.63,1.25,4.8,Therapy,36067.0,Yes,76.08,2538.0,9.9,62420.0,0.74,20.57
11523,Indonesia,2014,Dengue,Respiratory,4.18,5.71,3.06,19-35,Female,93218,53.53,0.91,1.6,Therapy,17118.0,No,63.02,4957.0,1.13,27682.0,0.53,61.6
11524,India,2014,Leprosy,Chronic,13.0,1.87,1.73,61+,Male,229527,78.62,2.82,6.17,Therapy,42340.0,No,61.56,1493.0,8.12,29929.0,0.76,54.39
11530,Indonesia,2021,Parkinson's Disease,Bacterial,19.49,4.75,9.87,36-60,Female,563437,82.04,4.9,7.1,Vaccination,106.0,No,97.74,1911.0,9.09,93874.0,0.42,58.77
11531,Brazil,2000,Parkinson's Disease,Neurological,9.6,9.5,2.39,0-18,Other,98269,63.37,4.81,3.63,Surgery,24505.0,Yes,86.64,1764.0,5.01,3036.0,0.68,21.77
11532,Italy,2004,Parkinson's Disease,Genetic,5.33,12.38,3.1,61+,Male,709609,88.48,1.84,0.64,Medication,37287.0,No,94.25,3811.0,0.8,80939.0,0.63,86.37
11535,Canada,2023,Rabies,Autoimmune,14.17,11.93,8.05,61+,Male,149325,68.82,1.96,5.16,Medication,16783.0,No,60.53,1683.0,6.11,58297.0,0.65,82.86
11536,Russia,2015,Rabies,Infectious,19.42,7.58,0.87,0-18,Female,142320,58.89,1.92,4.44,Surgery,9248.0,Yes,78.12,2280.0,2.91,21849.0,0.87,66.91
11542,Nigeria,2020,Influenza,Viral,15.82,7.13,7.17,36-60,Male,277677,63.84,3.42,7.95,Surgery,44932.0,Yes,81.8,2775.0,6.16,97793.0,0.49,33.3
11544,Canada,2024,COVID-19,Bacterial,8.9,14.55,5.42,36-60,Female,740287,68.04,2.78,2.93,Medication,48363.0,No,60.43,1214.0,4.23,2984.0,0.82,33.74
11551,India,2007,Polio,Parasitic,11.08,14.43,1.46,61+,Female,814499,85.33,1.26,7.44,Vaccination,15323.0,Yes,88.73,2120.0,1.82,80177.0,0.51,24.01
11554,Turkey,2005,Parkinson's Disease,Infectious,0.53,0.94,2.93,36-60,Female,186050,75.48,3.1,9.19,Medication,37199.0,Yes,85.15,4868.0,8.61,9047.0,0.59,74.92
11556,UK,2014,COVID-19,Parasitic,4.87,0.76,1.21,19-35,Male,676432,57.35,0.9,1.23,Vaccination,28645.0,No,75.89,626.0,1.21,66498.0,0.67,72.31
11558,Italy,2003,Cancer,Viral,18.48,12.6,3.55,36-60,Male,17614,94.4,1.14,7.68,Vaccination,16286.0,No,82.5,4660.0,6.79,74230.0,0.77,84.77
11560,Italy,2001,Diabetes,Genetic,1.94,10.15,9.3,36-60,Other,75562,86.32,0.82,2.05,Therapy,28536.0,No,57.59,50.0,9.27,73043.0,0.66,33.32
11563,USA,2001,Leprosy,Chronic,2.87,9.84,4.07,36-60,Female,107238,87.26,1.45,5.22,Vaccination,27656.0,Yes,66.52,1623.0,3.74,37348.0,0.54,61.93
11565,Germany,2023,Tuberculosis,Autoimmune,16.59,6.63,5.58,36-60,Male,382295,64.83,1.14,3.9,Medication,17025.0,No,87.46,1538.0,6.24,88053.0,0.74,52.51
11568,South Africa,2006,Alzheimer's Disease,Metabolic,15.85,3.18,5.26,36-60,Male,467090,83.75,3.77,2.94,Therapy,23843.0,No,72.12,818.0,4.37,78227.0,0.81,20.44
11577,South Korea,2023,Tuberculosis,Neurological,6.97,11.53,9.16,0-18,Female,543947,96.56,1.54,3.83,Surgery,37896.0,Yes,62.95,94.0,9.89,55209.0,0.41,23.33
11585,Japan,2006,Parkinson's Disease,Bacterial,8.63,4.28,3.13,36-60,Female,36585,79.75,2.35,8.13,Medication,45204.0,Yes,62.66,2665.0,2.93,40924.0,0.61,52.12
11586,South Korea,2022,Polio,Cardiovascular,10.27,2.97,1.81,0-18,Male,220105,66.09,3.57,7.07,Vaccination,7860.0,No,60.23,1409.0,2.95,67991.0,0.51,85.62
11591,India,2018,Tuberculosis,Autoimmune,11.8,5.7,2.75,61+,Male,691598,86.91,2.47,7.07,Surgery,47377.0,Yes,53.83,4729.0,4.51,59150.0,0.48,79.05
11592,Japan,2017,HIV/AIDS,Respiratory,9.19,4.98,3.2,0-18,Male,740059,76.37,4.54,7.78,Surgery,23764.0,Yes,59.76,546.0,2.24,6097.0,0.48,36.54
11599,Italy,2022,Rabies,Autoimmune,17.64,3.15,0.28,19-35,Other,112416,62.48,4.52,7.59,Surgery,14225.0,No,62.17,370.0,0.45,61983.0,0.7,76.13
11601,India,2000,Tuberculosis,Autoimmune,18.46,11.74,9.74,36-60,Male,39211,98.64,4.84,8.71,Medication,9992.0,No,56.21,2266.0,1.6,78470.0,0.5,61.52
11603,Italy,2014,Polio,Respiratory,15.37,3.04,0.57,36-60,Female,299807,64.41,3.03,6.32,Medication,46974.0,Yes,58.63,4462.0,5.18,75176.0,0.71,20.38
11606,Mexico,2002,Polio,Chronic,2.59,6.23,5.38,36-60,Other,227783,86.88,3.44,6.66,Therapy,34234.0,No,82.41,4400.0,4.93,6292.0,0.66,79.85
11610,France,2021,Zika,Chronic,6.62,1.64,0.82,19-35,Male,724076,74.85,4.66,9.62,Vaccination,21808.0,No,50.05,4041.0,6.48,2699.0,0.82,29.95
11616,India,2013,Malaria,Neurological,9.84,6.22,4.6,36-60,Female,301419,66.18,4.21,2.97,Therapy,20520.0,Yes,97.95,3842.0,7.98,32759.0,0.6,27.44
11622,Turkey,2005,Parkinson's Disease,Viral,15.36,12.91,1.8,0-18,Other,385529,89.49,2.09,9.49,Therapy,24762.0,No,56.14,4052.0,3.69,52095.0,0.6,45.47
11634,Brazil,2007,Polio,Infectious,8.57,9.85,5.63,0-18,Female,813828,70.35,1.86,1.69,Therapy,4732.0,No,90.71,342.0,3.1,98045.0,0.75,59.23
11636,Canada,2021,Malaria,Infectious,8.81,2.71,4.09,19-35,Other,924696,97.69,1.67,5.41,Vaccination,49103.0,Yes,70.03,117.0,8.14,79652.0,0.48,73.34
11640,South Korea,2023,Ebola,Chronic,3.26,3.75,0.85,61+,Male,428925,88.99,4.42,4.83,Medication,41932.0,No,51.07,62.0,3.09,80269.0,0.71,81.06
11644,Turkey,2018,Hepatitis,Respiratory,0.82,14.8,9.03,0-18,Other,365597,88.3,0.52,9.05,Surgery,30150.0,No,97.68,3628.0,3.54,32462.0,0.46,53.47
11645,Brazil,2010,Measles,Viral,9.35,10.42,7.94,61+,Male,735275,71.34,3.3,1.64,Therapy,29357.0,No,82.06,3493.0,5.38,40776.0,0.77,47.22
11646,Germany,2007,Hepatitis,Metabolic,14.39,13.26,5.31,36-60,Male,420716,91.41,0.94,1.1,Surgery,40809.0,No,80.54,3325.0,7.15,34704.0,0.76,79.29
11652,China,2001,Alzheimer's Disease,Viral,4.18,0.3,5.36,0-18,Other,892494,62.23,4.65,3.18,Medication,674.0,Yes,83.91,2551.0,3.58,78992.0,0.76,38.42
11655,Argentina,2001,Diabetes,Viral,5.58,7.39,5.67,0-18,Other,562712,82.47,4.79,2.26,Surgery,23919.0,No,64.55,532.0,7.89,38929.0,0.5,69.07
11659,UK,2015,Asthma,Genetic,11.06,9.6,2.09,19-35,Other,219480,68.81,0.84,2.25,Medication,33431.0,Yes,85.17,464.0,2.64,62138.0,0.57,36.48
11666,China,2023,Cancer,Infectious,2.54,7.81,7.47,0-18,Female,687762,79.07,2.78,2.95,Vaccination,13182.0,Yes,93.67,894.0,4.11,22461.0,0.6,37.43
11670,Saudi Arabia,2001,Asthma,Autoimmune,1.01,2.4,2.28,0-18,Other,266271,99.3,3.83,5.89,Therapy,22544.0,Yes,86.79,3609.0,4.59,51864.0,0.71,86.86
11671,Indonesia,2014,Tuberculosis,Autoimmune,8.76,4.11,7.42,0-18,Female,771945,70.08,1.17,7.51,Vaccination,11610.0,No,51.2,474.0,1.38,40184.0,0.44,25.66
11686,Indonesia,2013,Cancer,Viral,16.45,3.22,8.96,0-18,Male,874116,66.62,4.89,6.79,Medication,46228.0,Yes,71.52,752.0,8.2,40709.0,0.44,65.97
11687,Australia,2002,Cancer,Respiratory,11.49,0.16,9.7,36-60,Female,654492,53.22,4.76,3.62,Vaccination,39293.0,No,97.3,936.0,2.37,34265.0,0.71,82.99
11697,Australia,2014,Measles,Neurological,5.09,13.01,0.94,61+,Other,777909,96.04,1.08,2.58,Therapy,43509.0,Yes,76.24,3401.0,3.15,9180.0,0.87,87.5
11702,Brazil,2014,Polio,Chronic,6.57,12.31,1.1,19-35,Male,97266,76.57,0.87,5.53,Therapy,5938.0,No,52.97,1186.0,5.45,31803.0,0.46,66.87
11705,Japan,2002,Ebola,Genetic,6.3,4.11,5.82,0-18,Other,697375,72.12,3.64,4.94,Surgery,20779.0,Yes,86.73,1661.0,4.38,60090.0,0.78,24.63
11709,China,2023,Ebola,Viral,11.14,2.87,2.25,0-18,Male,959196,61.4,1.44,8.99,Medication,45340.0,No,94.71,2571.0,1.27,85089.0,0.52,59.11
11714,Australia,2022,Malaria,Autoimmune,3.11,1.29,2.92,36-60,Other,635013,86.82,4.22,5.9,Therapy,4927.0,No,56.8,2442.0,5.74,64512.0,0.49,67.17
11715,Italy,2000,Diabetes,Metabolic,11.85,13.65,0.27,0-18,Male,860342,91.38,3.73,4.38,Vaccination,11498.0,Yes,56.16,3064.0,0.61,50900.0,0.52,89.56
11720,Canada,2024,Alzheimer's Disease,Neurological,1.75,13.47,7.32,19-35,Male,244062,95.86,2.27,6.86,Surgery,19648.0,Yes,94.04,1090.0,2.0,53559.0,0.44,45.38
11725,Russia,2024,Hypertension,Respiratory,11.19,14.08,5.3,19-35,Male,927802,92.14,1.26,7.54,Surgery,5097.0,Yes,53.55,2423.0,1.51,52291.0,0.61,20.58
11728,Japan,2015,Cancer,Metabolic,16.37,6.27,9.14,61+,Other,166002,92.63,1.85,5.52,Therapy,30833.0,No,62.6,2945.0,7.48,71146.0,0.56,46.83
11731,Argentina,2003,Cholera,Parasitic,15.71,6.29,5.95,19-35,Other,850248,52.94,0.8,5.23,Surgery,34315.0,No,60.05,3200.0,9.84,29320.0,0.69,31.1
11737,South Africa,2013,Polio,Chronic,18.4,4.92,3.46,0-18,Male,972079,69.28,4.02,8.07,Medication,49776.0,Yes,92.12,3038.0,6.48,13118.0,0.88,30.4
11738,China,2019,Alzheimer's Disease,Parasitic,12.86,5.43,6.44,0-18,Male,874619,74.87,1.69,5.56,Medication,18529.0,Yes,51.57,151.0,3.38,60979.0,0.49,57.01
11746,UK,2004,HIV/AIDS,Respiratory,13.53,7.56,7.0,0-18,Female,740787,62.08,4.28,1.79,Medication,20605.0,Yes,69.44,4142.0,3.41,39743.0,0.61,39.02
11762,Brazil,2010,Parkinson's Disease,Infectious,0.42,9.33,9.03,36-60,Male,313500,55.85,0.85,1.11,Surgery,9366.0,Yes,81.82,2022.0,2.63,36322.0,0.8,39.59
11769,China,2010,Parkinson's Disease,Genetic,12.53,4.7,0.57,36-60,Other,96230,82.46,2.19,3.74,Therapy,35522.0,No,81.57,345.0,7.27,92277.0,0.72,73.9
11780,India,2003,Dengue,Bacterial,4.14,9.88,3.62,61+,Female,103057,92.43,2.08,8.52,Vaccination,47138.0,No,98.25,4349.0,8.08,39791.0,0.82,51.88
11807,Argentina,2024,Influenza,Chronic,4.95,6.45,3.1,61+,Other,250171,72.72,0.91,1.42,Therapy,27832.0,Yes,78.64,3878.0,1.89,54744.0,0.89,55.72
11823,Mexico,2015,Cancer,Autoimmune,9.64,14.96,9.16,36-60,Female,634875,71.86,2.89,5.72,Therapy,37249.0,No,86.31,1219.0,0.62,84619.0,0.51,35.3
11833,South Korea,2011,Zika,Infectious,9.99,6.79,3.34,36-60,Female,234245,81.1,2.51,3.33,Therapy,26411.0,Yes,71.88,607.0,6.56,32175.0,0.47,49.04
11844,Saudi Arabia,2011,Malaria,Respiratory,14.81,6.21,5.48,36-60,Female,426745,85.02,0.9,4.7,Medication,30289.0,No,87.11,1882.0,5.86,28239.0,0.9,29.01
11847,Canada,2007,Cholera,Neurological,16.35,12.93,3.02,0-18,Female,870091,83.01,2.39,4.16,Therapy,3614.0,No,88.83,234.0,8.33,25325.0,0.87,26.92
11858,Indonesia,2016,Parkinson's Disease,Metabolic,2.42,10.71,5.79,0-18,Female,26071,88.04,2.58,7.46,Vaccination,834.0,No,60.19,1672.0,4.89,93807.0,0.54,30.17
11862,China,2014,Parkinson's Disease,Infectious,15.83,2.44,8.7,61+,Female,899591,83.24,1.8,2.56,Medication,45903.0,No,66.3,323.0,2.7,36883.0,0.69,39.74
11863,Canada,2002,Polio,Respiratory,18.44,4.18,6.74,36-60,Other,729156,66.12,4.2,4.27,Vaccination,47795.0,Yes,69.98,1127.0,6.08,98747.0,0.82,66.92
11864,Mexico,2023,Diabetes,Respiratory,15.56,9.28,0.63,19-35,Other,91516,78.61,1.62,3.66,Therapy,42254.0,Yes,74.09,20.0,3.69,3003.0,0.85,66.2
11881,Italy,2020,Hypertension,Metabolic,15.16,3.58,5.09,36-60,Male,811835,56.78,0.66,2.73,Therapy,30469.0,No,82.29,4179.0,2.54,37269.0,0.69,61.35
11883,Italy,2023,Tuberculosis,Autoimmune,18.18,2.22,4.35,0-18,Female,508885,91.41,4.01,0.54,Surgery,24508.0,Yes,66.47,3304.0,0.39,77883.0,0.54,67.39
11884,Canada,2000,HIV/AIDS,Parasitic,5.65,12.04,7.32,0-18,Male,878088,87.89,4.83,7.65,Medication,42604.0,No,85.59,2451.0,1.47,69324.0,0.47,71.79
11888,South Africa,2024,Zika,Bacterial,0.95,1.87,2.34,19-35,Other,762789,62.79,2.02,7.63,Vaccination,15711.0,Yes,97.37,3045.0,7.52,23680.0,0.53,78.8
11900,Brazil,2007,Zika,Viral,7.25,12.45,0.54,61+,Female,217470,56.41,3.79,6.6,Therapy,21690.0,No,53.52,2229.0,7.76,76508.0,0.62,32.83
11902,Nigeria,2019,Zika,Bacterial,5.8,9.62,5.36,61+,Female,272123,73.98,2.84,6.25,Vaccination,40770.0,No,97.77,2222.0,2.99,37447.0,0.71,50.83
11905,USA,2010,Zika,Respiratory,10.24,1.43,8.05,19-35,Other,77326,67.49,3.93,3.47,Vaccination,8525.0,Yes,92.43,2766.0,5.55,32968.0,0.68,25.47
11906,Mexico,2010,Ebola,Infectious,9.08,9.11,3.86,36-60,Male,379204,93.85,3.36,7.71,Surgery,14684.0,Yes,91.23,4484.0,8.3,32505.0,0.87,63.73
11907,Australia,2020,Polio,Genetic,6.97,13.64,1.68,36-60,Other,326966,76.63,3.88,7.27,Therapy,28307.0,Yes,54.0,820.0,3.02,81433.0,0.55,70.9
11909,Japan,2004,Cholera,Bacterial,7.62,12.42,6.52,61+,Female,125274,62.77,0.76,8.95,Vaccination,33683.0,No,62.5,2005.0,7.02,32404.0,0.79,36.16
11910,South Africa,2023,Diabetes,Autoimmune,18.99,9.13,5.58,36-60,Female,995969,91.59,0.8,2.52,Surgery,2229.0,No,85.26,249.0,4.49,30414.0,0.6,79.4
11911,South Korea,2002,Hepatitis,Cardiovascular,2.76,1.19,6.11,19-35,Female,263176,52.39,2.98,7.6,Therapy,571.0,No,92.85,3515.0,9.02,77823.0,0.52,82.48
11914,Saudi Arabia,2024,Measles,Autoimmune,6.13,12.3,5.23,61+,Male,140301,58.63,2.65,7.18,Surgery,43261.0,No,73.98,1514.0,1.68,2163.0,0.55,21.35
11938,Nigeria,2004,Influenza,Genetic,0.4,3.64,2.99,36-60,Other,423713,84.18,2.96,2.15,Vaccination,27984.0,No,58.86,4717.0,9.44,29791.0,0.57,37.65
11949,South Korea,2002,Cancer,Genetic,14.78,13.39,7.79,19-35,Female,817273,81.75,0.77,7.96,Vaccination,45550.0,Yes,73.17,1671.0,0.72,48564.0,0.59,25.24
11951,Italy,2000,COVID-19,Respiratory,18.58,13.42,5.08,36-60,Female,738264,82.94,0.55,1.13,Medication,19913.0,No,83.86,3547.0,6.41,47003.0,0.57,51.08
